en	hu	la	pl	ja	zh	num	s	l	def	%comment
thumb	hu2velykujj	pollex	kciuk	oyayubi 親指	mu3zhi3 拇指	1098	u	N	part_of hand, human has hand, short, thick/2752	%
time	ido3	tempus	czas	jikan 時間	shi2jian1 时间	1120	c	N	event in, has direction, past part_of, now part_of, future part_of	%
tired	fa1radt	lassus	zme1czony	tsukarete-iru 疲れている	lei4 累	3634	e	A	want rest  	%
to	-ba	in	do	ni に	jin4 进	12	u	G	after(=agt in =pat) 	%
to	-hoz	ad	do	ni に	dao4 到	2743	u	G	after(=agt at/2744 =pat)	%
to	-ni	-are		(-C)u	(n/a)	3600	u	G	is_a thing, "to/3600 _" mark_ thing	%infinitive
together	egyu2tt	una	razem	issho 一緒	yi4qi3 一起	586	u	D	similar <place, intent>	%
tongue	nyelv	lingua	je1zyk	shita 舌	she2tou 舌头	1808	e	N	part_of body, at mouth, taste ins_, speak ins_	%
tool	szersza1m	instrumentum	narze1dzie	dógu 道具	gong1ju4 工具	2202	u	N	object, work ins_	%
tooth	fog	dens	za1b	ha 歯	ya2chi3 牙齿	827	c	N	organ, animal has, hard, in jaw, bite/1001 ins_, chew ins_, attack ins_, defend ins_	%
top	teto3	culmen	dach	ichiban-ue 一番上	shang4mian4 上面	2377	e	N	part, at position, vertical(position er_ part[other])	%
touch	e1rint	attingo	dotkna1c1	sawaru 触る	chu4mo1 触摸	522	u	V	<hand> at =pat[surface], <=agt has hand>, contact, feel surface	%
transport	sza1lli1t	veho	transport	unsó-suru 運送する	yun4shu1 运输	3057	u	N	move	%
travel	utazik	iter_facio	podro1z1owac1	ryokó-suru 旅行する	lü3xing2 旅行	2537	e	U	after(=agt at place/1026[other,<city>])	%cfg
tree	fa	arbor	drzewo	ki 木	shu4 树	709	e	N	plant, has material[wood], has trunk/2759, has many(branch)	%
true	igaz	verus	prawdziwy	hontó 本当	zhen1 真	1125	c	A	fact	%
trunk	to2rzs	truncus	tol1o1w	miki 幹	zhu3gan4 主干	2759	u	N	main(part), long, stable	%
try	pro1ba1l	tempto	pro1bowac1	tamesu 試す	shi4 试	1976	e	V	=agt want =agt[=pat]	%
tube	cso3	fistula	rura	tsutsu 筒	guan3zi 管子	419	u	N	pipe	%
turn	forog	versor	przekre1cac1	mawaru 回る	zhuan3dong4 转动	860	u	V	move, change(direction), <has axis>	%
tusk	agyar	dente	kiel1	kiba 牙	chang2ya2 长牙	3605	e	N	tooth, long, elephant has	%
two	ke1t	duo	dwa	ni 二	er4 二	2967	u	A	number, one in, other in, follow one	%
under	ala1	sub	pod	shita 下	xia4 下	136	u	D	high(=pat er_ =agt)	%
understand	e1rt	intellego	rozumiec1	wakaru わかる	dong3 懂	525	u	V	meaning in mind, =pat has meaning, =agt has mind	%
union	unio1	coniunctio	unia	rengó 連合	lian2he2 联合	2525	e	N	together, public	%
unit	egyse1g	omne	jednostka	tan'i 単位	dan1yuan2 单元	3038	u	N	amount, measure	%
upset	izgalom	commotio	poruszenie	fuan 不安	fan2nao3 烦恼	1166	u	N	disturb	%
use	haszna1l	utor	uz1ywac1	tsukau 使う	yong4 用	1008	u	V	=agt has purpose, =pat help purpose, "for _" mark_ purpose, "to/3600 _" mark_ purpose	%
useful	hasznos	utilis	przydatny	benri 便利	you3li4 有利	3134	e	A	for_ gen	%
value	e1rte1k	pretium	wartos1c1	kachi 価値	jia4zhi2 价值	526	e	N	amount, < gen pay/812>	%
vehicle	ja1rmu3	vehiculum	pojazd	norimono 乗り物	che1liang4 车辆	1172	c	N	machine, has wheel(many), move {people,object} ins_, car is_a, truck is_a, bus is_a	%
vertical	fu2ggo3leges	verticalis	pionowy	suichoku 垂直	shu4 竖	869	c	N	direction, has top, has middle, has bottom, Earth pull in direction	%
violent	ero3szakos	violentus	gwal1towny	bóryokuteki 暴力的	meng3lie4 猛烈	690	e	A	ins_ physical(force)	%
visible	la1thato1	visibilis	widoczny	mieru 見える	ke3jian4 可见	3128	e	A	can/1246(gen see)	%
wall	fal	murus	s1ciana	kabe 壁	qiang2 墙	721	u	N	object, vertical, enclose, divide, protect, building has, long, high	%
want	akar	volo	chciec1	hoshii 欲し	yao4 要	131	c	V	=agt feel {=agt need =pat}	%
warm	meleg	calidus	ciepl1y	atatakai 暖かい	nuan3 暖	1655	e	A	temperature(er_ gen)	%
warm	fu3t	calefacio	grzac1	atatameru 暖める	jia1wen1 加温	878	e	V	after(warm/1655)	%
warn	figyelmeztet	adverto	oztrzegac1	keikoku-suru 警告する	gao4jie4 告诫	803	e	V	cause_ {=pat know danger}	%
water	vi1z	aqua	woda	mizu 水	shui3 水	2622	u	N	liquid, lack colour, lack taste, lack smell, life need	%
wave	hulla1m	unda	fala	nami 波	bo1 波	1104	e	N	in sequence, move, on surface, liquid move[vertical], has surface	%
way	u1t	via	droga	michi 道	lu4 路	2484	u	N	artefact, gen move at, has direction	%
weapon	fegyver	arma	bron1	buki 武器	wu3qi4 武器	754	e	N	instrument, fight ins_	%
weather	ido3ja1ra1s	tempestas	pogoda	tenki 天気	tian1qi4 天气	1121	u	N	state/77, atmosphere has, at time, at place/1026, temperature, water in air, wind, air has pressure	%
week	he1t	hebdomas	tydzien1	shú 週	xing1qi1 星期	1021	u	N	period, time, seven(day) in	%
weight	su1ly	pondus	waga	omosa 重さ	zhong4liang4 重量	2127	c	N	physical(quantity), heavy	%
wet	nedves	humidus	mokry	nurete-iru 濡れている	shi1 湿	1769	u	A	liquid cover	%
wh	ki/mi/hogy	quo	kto/co/jak	nani 何	he2 何	3636	p	G	wh	%
wheat	bu1za	triticum	pszenica	komugi 小麦	xiao3mai4 小麦	344	u	N	plant, has grain, make flour	%
wheel	kere1k	rota	kol1o	sharin 車輪	轮 lun2	1293	u	N	artefact, part_of <vehicle>, circular/1294, turn, <has spoke>, <has hub>	%
white	fehe1r	albus	bial1y	shiroi 白い	bai2 白	755	c	N	colour, light/739, snow has colour, empty, clear	%
whole	ege1sz	totus	cal1y	subete 全て	quan2 全	553	c	A	all member	%quantifier
wide	sze1les	latus	szeroki	hiroi 広い	kuan1guang3 宽广	2166	u	A	distance[great, horizontal] between side, has more(side)	%
wife	felese1g	uxor	z1ona	tsuma 妻	qi1zi 妻子	767	e	N	in marriage, female	%
will	akar	volo	chciec1	hoshii 欲し	yao4 要	132	e	V	want	%
win	gyo3z	vinco	wygrywac1	katsu 勝つ	ying2 赢	937	u	U	best, succeed/2718, before(compete), before(effort), get/1223 <prize>	%=agt defeat enemy
wind	sze1l	ventus	wiatr	kaze 風	feng1 风	2164	e	N	air, move[horizontal]	%
wing	sza1rny	ala	skrzydl1o	tubasa 翼	chi4bang3 翅膀	2146	u	N	object, fly ins_, part_of body	%
winter	te1l	hiems	zima	fuyu 冬	dong1tian1 冬天	2322	c	N	season/548, follow autumn, spring/2318 follow, cold, snow in, death in	%ND
woman	no3	mulier	kobieta	onna 女	nü3 女	1795	u	N	female, person	%
wood	fa	lignum	drewno	mokuzai 木材	mu4 木	710	c	N	material, hard, tree has	%
wool	gyapju1	lana	wel1na	yómó 羊毛	yang2mao2 羊毛	924	c	N	material, soft, sheep has	%
word	szo1	verbum	sl1owo	kotoba 言葉	dan1ci2 单词	2224	u	N	sign, speech	%
work	munka	opera	praca	shigoto 仕事	gong1zuo4 工作	1740	e	N	useful	%RA
wrist	csuklo1	articulus	nadgarstek	tekubi 手首	shou3wan4zi 手腕子	438	e	N	organ, joint, at hand, at end, arm has end	%
write	i1r	scribo	pisac1	kaku 書く	xie3 写	1109	u	V	put {<letter/278>,<more(word)>} on surface<paper>, ins_ {<pen>,<pencil>}	%
written	i1rott	scritus	napisany	kakareta 書かれた	shu1mian4 书面	3126	u	A	letter/278 on surface[<paper>]	%
year	e1v	annus	rok	toshi 年	nian2 年	545	c	N	period, time, month part_of	%
yellow	sa1rga	flavus	z1o1l1ty	kiiroi 黄色い	huang2 黄	2057	e	N	colour, sun has colour	%
young	fiatal	iuvenis	ml1ody	wakai 若い	nian2qing1 年轻	799	u	N	early, in life	%
