en	hu	la	pl	ja	zh	num	s	l	def	%comment
chicken	csirke	pullus	kurcze1	niwatori 鶏	ji1 鸡	412	e	N	bird, make meat, make egg 	%
child	gyerek	puer/puella	dziecko	kodomo 子供	er2zi 儿子	931	u	N	person, young, parent make	%
chin	a1ll	mentum	broda	ago 顎	xia4ba 下巴	73	e	N	part_of face, at centre, under mouth	%
choose	va1laszt	eligo	wybierac1	erabu 選ぶ	xuan3ze2 选择	2546	e	V	=agt cause_ {=pat for_ =agt}	%
circle	ko2r	circulus	kol1o	en 円	yuan2quan1 圆圈	1386	e	N	shape, round, close/3381, curve	%
circular	kerek	rotundus	okra1gl1y	marui 丸い	yuan2 圆	1294	u	A	shape, resemble circle, curve	%
clean	tiszta	mundus	czysty	seiketsu 清潔	gan1jing4 干净	2389	u	A	lack dirt	%
clear	tiszta	purus	czysty	tómei 透明	qing1 清	2390	u	A	can/1246(see through)	%easily seen through
close	csuk	claudo	zamkna1c1	shimeru 閉める	guan1 关	3381	u	V	move, after(part at other(part)), after(gen lack through)	%
cloth	szo2vet	textum	material1	nuno 布	bu4liao4 布料	2232	e	N	material, sheet, has thread, cotton is_a	%
cloud	felho3	nubes	chmura	kumo 雲	yun2 云	770	e	N	object, visible, water, drop, in sky, <white>, <grey>	%
coal	sze1n	carbo	we1giel	sekitan 石炭	mei2tan4 煤炭	2169	e	N	mineral, hard, black, burn, make heat	%
cold	hideg	frigidus	zimno	tsumetai 冷たい	leng3 冷	1053	u	N	temperature, low	%
colour	szi1n	colour	kolor	iro 色	yan2se4 颜色	2207	c	N	sensation, light/739, red is_a, green is_a, blue is_a	%
colour	szinez	colouro	kolorowac1	iro o tsukeru 色をつける	ran3se4 染色	2219	c	V	add colour/2207	%
column	oszlop	columna	kolumna	hashira 柱	zhu4zi 柱子	3633	e	N	shape, tall, vertical, solid	%
command	parancs	iussum	rozkaz	meirei 命令	ming4ling4 命令	1941	e	N	speak, has authority, cause_ {person do =pat}, "dative_" mark_ person	%
common	ko2zo2s	communis	wspo1lny	futsú 普通 NEM JO	gong4tong2 共同	1415	e	A	at many, more has, public	%
communicate	kommunika1l	communicare	komunikowac1	hasshin 発信	gou1tong1 沟通	3145	u	U	give information	%
company	va1llalat	negotiatio	firma	kaisha 会社	gong1si 公司	2549	u	N	organization, for_ business	%
compete	versenyez	contendo	rywalizowac1	kyósó 競争	jing4zheng1 竞争	2608	c	U	want win, =agt has opponent, opponent want win	%
complex	o2sszetett	complex	zl1oz1ony	fukuzatsu 複雑	fu4za2 复杂	3341	e	A	has many(part), difficult(understand)	%
conduct	vezet	transmitto	przewodzic1	annai-suru 案内する	dao3 导	3353	e	V	=agt cause_ {=pat move}, "to/2743 _" mark_ place, <energy[flow] in>	%
confident	magabiztos	confidens	pewny	jishin-ga-aru 自信がある	zi4xin4 自信	3027	e	A	think after(self[good])	%
conform	megfelel	aptus	sl1oda	shitagau 従う	shi4he2 适合	3375	u	N	similar, <gen expect =pat>, "to _" mark_ =pat	%
connect	kapcsol	coniungo	l1a1czyc1	tsunagu 繫ぐ	lian2jie1 连接	1227	e	V	after(connected)	%
connected	kapcsolt	coniunctus	pol1a1czony	setsuzoku-shita 接続した	lian2jie1 de 连接的	3637	e	A	move(together)	%
conscious	tudatos	conscius	s1wiadomy	ishiki-ga-aru 意識がある	you3yi4shi2 有意识	2459	c	A	notice, realize, awake, understand, deliberate, think, know	%
constant	a1llando1	constant	stal1y	ittei-no 一定の	bu4bian4 不变	3365	u	A	lack change	%
contact	e1rintkeze1s	contactus	kontakt	sesshoku 接触	jie1chu4 接触	3366	c	N	touch, =agt at =pat	%
contain	tartalmaz	contineo	zawierac1	fukumu 含む	bao1han2 包含	2313	e	V		%
container	tarta1ly	vasculum	pojemnik	kontena コンテナ	rong2qi4 容器	2801	u	N	artefact, contain	%
control	befolya1s	vis	kontrola	eikyó 影響	kong4zhi4 控制	253	u	N	=agt want {=pat do}, =pat must do 	%
cook	szaka1cs	coquus	kucharz	kokku コック	chu2shi1 厨师	2152	e	N	person, <profession>, make food	%
cook	fo3l	coquitur	gotowac1_sie1	nikomu 煮込む	zhu3 煮	822	e	U	get heat	%
cook	fo3z	coquo	gotowac1	ryóri-suru 料理する	zhu3 煮	825	e	V	=agt make <=pat[food]>, ins_ heat	%
cool	hu3l	frigesco	chl1odzic1_sie1	hiyasu 冷やす	bian4 liang2 变凉	1101	e	V	after(cold)	%
cool	hu3vo2s	frigidus	chl1odny	suzushii 涼しい	liang2kuai4 凉快	1103	e	A	temperature, normal er_, er_ cold	%
cord	ko2te1l	restis	sznurek	himo 紐	sheng2suo3 绳索	1395	e	N	rope, thin/2598	%
corner	sarok	angulus	ro1g	kado 角	jiao3luo4 角落	2062	e	N	point, turn at, sharp, two(side) at	%
correct	helyes	rectus	poprawny	tadashii 正しい	zheng4que4 正确	1029	e	A	conform norm	%
cotton	pamut	linum_xylinum	bawel1na	momen 木綿	mian2 棉	1936	e	N	plant, soft, white, fibre	%
count	sza1mol	numero	liczyc1	kazoeru 数える	suan4 算	2142	u	V	calculate, other(number) follow number	%
country	orsza1g	terra	pan1stwo	kuni 国	guo2 国	1913	u	N	state/76	%
court	bi1ro2sa1g	curia	sa1d	saibansho 裁判所	fa3yuan4 法院	3124	e	N	place/1026, law ins_, judge at	%related to 2515
cover	fed	tego	okryc1	oo-u 覆う	fu4gai4 覆盖	750	u	V	=agt on =pat, protect, cause_[lack(gen see =pat)]	%
cow	tehe1n	vacca	krowa	ushi 牛	mu3niu2 母牛	2335	e	N	cattle, female, make milk, <at farm>	%
crop	terme1s	messis	zbio1r	sakumotsu 作物	zhuang1jia4 庄稼	2361	c	N	plant, at agriculture, product	%
cube	kocka	alea	kos1c1	rippótai 立方体	li4fang1ti3 立方体	2701	u	N	shape, has four(side), has flat(top), has flat(bottom)	%
cupboard	szekre1ny	armarium	szafa	wádoróbu ワードローブ	gui4zi 柜子	2180	e	N	furniture, has door, has shelf, store	%
curve	go2rbe	curvamen	krzywa	kyokusen 曲線	qu1xian4 曲线	898	u	N	line, lack straight/563, lack plane/2090, bend/1112, direction lack constant	%
cut	va1g	seco	cia1c1	kiru 切る	qie4 切	2542	u	V	separate, ins_ edge	%RA
cutlery	evo3eszko2z	ferramentum	sztuc1ce	katorarí カトラリー	dao1ju4 刀具	3354	c	N	knife is_a, fork is_a, spoon is_a, for_ eat	%
cylinder	henger	cylindrus	cylinder	tsutsu 筒	yuan2tong3 圆筒	2704	u	N	shape, round(column), has flat(bottom), has flat(top)	%
damage	ka1r	damnum	zniszczenie	songai 損害	sun3hai4 损害	1209	u	N	bad(situation)	%
danger	vesze1ly	periculum	niebezpieczen1stwo	kiken 危険	wei1xian3 危险	2610	u	N	can/1246(harm)	%
dark	so2te1t	obscurus	ciemny	kurai 暗い	hei1an4 de 黑暗的	2110	u	A	lack light/739	%
day	nap	dies	dzien1	hi 日	tian1 天	1754	c	N	period, week has, month has, has more(hour), sun on sky, work at	%
death	hala1l	mors	s1mierc1	shi 死	si3wang2 死亡	981	e	N	end, life has	%
decide	do2nt	decerno	decydowac1	kimeru 決める	jue2ding4 决定	471	u	U	want, before(=agt has more(possibility)), after(=pat)	%ZsA
decorate	di1szi1t	decoro	udekorowac1	kazaru 飾る	zhuang1shi4 装饰	2736	e	V	=agt cause_ {=pat[beautiful]}	%
deep	me1ly	altus	gl1e1boki	fukai 深い	shen1 深	1602	e	N	has bottom[far]	%
defeat	legyo3z	vinco	pokonac1	katsu 勝つ	da3bai4 打败	1520	u	V	before(compete), =agt has success, =pat[lose], =agt cause_ {=pat lose}, after(=agt control =pat)	%
defend	ve1d	defendo	bronic1	mamoru 守る	bao3hu4 保护	2592	e	V	=agt cause_ {=pat[safe]}	%
deliberate	sza1nde1kos	consulto	celowy	wazato わざと	gu4yi4 故意	2814	e	A	do, conscious, =agt want effect/1014	%
desire	va1gyik	desidero	pragna1c1	hoshii 欲しい	yu4wang4 欲望	2544	e	V	feeling, want	%
detail	re1szlet	pars	szczego1l1	shósai 詳細	xi4jie2 细节	1999	e	N	part_of information, exact	%
determine	meghata1roz	determino	ustalac1	ni yotte sadamerareru によって定められる	que4ding4 确定	1627	e	V	decide	%HUN elhata1roz
device	ke1szu2le1k	structura	urza1dzenie	sóchi 装置	she4bei4 设备	3142	u	N	artefact, machine	%
diamond	gye1ma1nt	adamas	diament	daiyamondo ダイヤモンド	zuan4shi2 钻石	925	e	N	hard, mineral, lack colour, <jewellery>	%
different	ma1s	diversus	inny	chigau 違う	bu4tong2 不同	1566	u	A	=pat has quality, =agt lack quality, "from _" mark_ =pat	%
difficult	nehe1z	difficilis	trudny	muzukashii 難しい	nan2 难	1771	u	A	act need large(effort), "to/3600 _" mark_ act	%
difficult	nehe1z	difficilis	trudny	muzukashii 難しい	nan2 难	1771	u	A	act need large(effort), "to/3600 _" mark_ act	%
dimension	dimenzio1	dimensio	wymiar	haba 幅	wei2du4 维度	3355	e	N	quantity, size, place/2326 has	%
direction	ira1ny	directio	kierunek	hókó 方向	fang1xiang4 方向	1148	u	N	relation, has end, in space/2327	%
dirt	kosz	sordes	brud	yogore 汚れ	wu1gou4 污垢	1438	e	N	soil is_a, mud is_a, dust is_a	%
disease	ko1r	morbus	choroba	byóki 病気	ji2bing4 疾病	1370	e	N	bad(situation), organ in	%
distance	ta1v	distantia	odlegl1os1c1	kyori 距離	ju4li2 距离	2290	u	N	space/2327 has size, space/2327 between	%
disturb	zavar	turbo	przeszkadzac1	jama-suru 邪魔する	da3rao3 打扰	2673	e	V	interrupt, =agt cause_ {=pat lack calm}	%
divide	oszt	divido	dzielic1	wakeru 分ける	fen1 分	1919	u	V	split	%
do	tesz	facio	robic1	suru する	zuo4 做	2372	u	V	cause, =agt[animal], =pat[happen]	%
dog	kutya	canis	pies	inu 犬	gou3 狗	1465	e	N	animal, has leg(four), bark, bite, faithful	%
door	ajto1	foris	drzwi	doa ドア	men2hu4 门户	128	u	N	artefact, at entrance, open/1814, close/3381	%
dot	pont	punctum	kropka	ten 点	dian3 点	1968	e	N	mark, small, round  	%
down	le	deorsum	w_do1l1	shita 下	xia4 下	1498	e	D	vertical(gen er_)	%
drink	iszik	bibo	pic1	nomu 飲む	he1 喝	1161	e	V	=pat[liquid,<alcoholic>] in mouth, =agt has mouth, =agt swallow	%
drink	ital	potio	napo1j	nomimono 飲み物	yin3liao4 饮料	1164	e	N	liquid, in mouth, swallow, <alcoholic> 	%
drive	vezet	rego	prowadzic1	unten-suru 運転する	jia4shi3 驾驶	2614	e	V	=agt cause_ {=pat move}, <=pat[car]>, control	%
drop	ejt	demitto	upus1cic1	otosu 落とす	diao4 掉	588	u	V	fall/2694	%
drunk	ittas	potus	pijany	yopparatta 酔っ払って	zui4 醉	1165	c	A	quality, person has quality, alcohol cause_, lack control	%
dry	sza1raz	siccus	suchy	kawaita 乾いた	gan1zao4 干燥	2145	e	A	lack wet	%anto
dust	por	pulvis	kurz	hokori ほこり（埃）	hui1chen2 灰尘	1970	u	N	substance, fine, dry, particle, powder, <dirt>	%
ear	fu2l	auris	ucho	mimi 耳	er3duo 耳朵	870	e	N	organ, hear ins_	%
early	korai	maturus	wczesny	hayai 早い	zao3 早	1431	e	A	time, gen er_ time	%
earth	fo2ld	terra	ziemia	chikyú 地球	di4qiu2 地球	815	c	N	planet, in space/2509, life on, ocean on, land on, has atmosphere	%
easy	ko2nnyu3	facilis	l1atwy	kantan 簡単	rong2yi4 容易	1380	e	A	lack difficult	%antonym
eat	eszik	edo	jes1c1	taberu 食べる	chi1 吃	700	e	V	=agt cause_ {=pat in mouth}, swallow, <=pat[food]>, <bite/1001>, <chew>, =agt has mouth	%
edge	e1l	acies	kant	fuchi 縁	bian1yan2 边沿	503	c	N	part, thin/2598, sharp, blade has, cut, instrument has	%
effect	hata1s	effectus	rezultat	eikyó 影響	ying3xiang3 影响	1014	u	N	<event> cause_	%
effort	ero3feszi1te1s	labor	wysil1ek	doryoku 努力	nu3li4 努力	687	u	N	use energy, try	%
egg	toja1s	ovum	jajo	tamago 卵	dan4 蛋	2422	c	N	food, round, animal<[female,chicken]> make, has thin/2598(shell)	%
electric	villamos	electricus	elektryczny	denki 電気	dian4qi4 电气	2633	u	A	has electricity	%
electricity	a1ram	fluidum_electricum	elektrycznos1c1	denki 電気	dian4li4 电力	88	e	N	liquid, has power, move<device>, <in wire>	%
element	elem	elementum	pierwiastek	genso 元素	yuan2su4 元素	3452	u	N	material, has atom(same)	%
elephant	elefa1nt	elephantus	sl1on1	zó 象	da4xiang4 大象	605	c	N	animal, large, eat <grass>, lack hair/3359, has long(nose<trunk/1910>), has large(ear), has tusk[ivory]	%
emotion	e1rzelem	affectus	emocja	kanjó 感情	gan3qing2 感情	3010	u	N	state/77, in mind, feeling	%
empty	u2res	vacuus	pusty	kara 空	kong1 空	2501	e	A	lack {gen in}	%
enclose	beza1r	obsero	zamkna1c1	kakomu 囲む	wei2zhu4 围住	285	e	V	around, =agt cause_ {=pat[shut/2668]}	%
end	ve1g	finis	koniec	owari 終わり	zhong1duan1 终端	2596	u	N	part, after(lack exist)	%
energy	energia	energia	energia	katsuryoku 活力	huo2li4 活力	2804	e	N	work[physical]	%
engine	ge1p	machina	silnik	kikai 機械	fa1dong4ji1 发动机	893	u	N	machine, cause_ move	%HUN motor % CONSUME fuel
enter	bele1p	intro	wejs1c1	hairu 入る	jin4 进	258	e	V	go, after(=agt in =pat)	%
entrance	beja1rat	porta	wejs1cie	iriguchi 入口	ru4kou3 入口	256	u	N	place/1026, {<person>[enter]} through, <door>	%
equipment	berendeze1s	apparatus	urza1dzenie	kigu 器具	she4bei4 设备	2788	e	N	tool, gen has	%
er_	-bb	-ior/-ius	-szy	yori より	geng4 更 __	3272	p	G		%
event	eseme1ny	eventum	wydarzenie	dekigoto 出来事	shi4jian4 事件	692	u	N	activity, at place/1026, <important>	%
exact	exakt	exactus	dokl1adny	seikaku 正確	zhun3que4 准确	705	e	A	correct, lack different	%
exchange	csere	mutatio	wymiana	kókan 交換	jiao1huan4 交换	405	u	N	before(=pat at person), after(=pat at other(person))	%
exist	van	exsto	byc1	sonzai-suru 存在	cun2zai4 存在	2587	u	V	real	%
expect	va1r	exspecto	spodziewac1_sie1	kitai-suru 期待する	qi1dai4 期待	2557	e	V	=agt think {=pat[real] at future}	%
experience	tapasztal	experior	dos1wiadczac1	keiken-suru 経験する	jing1yan4 经验	2308	e	V	after(=agt remember =pat), =pat real	%
express	kifejez	effor	wyrazic1	hyógen-suru 表現	biao3shi4 表示	2757	e	V	=agt cause_ {gen know =pat}	%
extreme	rendki2vu2li	nimius	skrajny	kyokutan 極端	ji2duan1 极端	2786	e	A	er_ gen	%
eye	szem	oculus	oko	me 目	yan3jing 眼睛	2182	u	N	organ, see ins_, animal has, on face, <two>	%
face	arc	vultus	twarz	kao 顔	lian3 脸	177	c	N	organ, surface, front, part_of head, forehead part_of, chin part_of, ear part_of, jaw part_of	%
fact	te1ny	factum	fakt	jijitsu 事実	shi4shi2 事实	2323	e	N	has proof[exist]	%
faith	hit	fides	wiara	shinkó 信仰	xin4xin1 信心	1064	c	N	belief, religious	%
faithful	hu3	fidus	wierny	chújitsu 忠実	zhong1shi2 忠实	1099	e	A	has faith	%
fall	o3sz	autumnus	jesien1	aki 秋	qiu1tian1 秋天	1883	e	N	autumn	%ND
fall	zuhan	cado	spadac1	ochiru 落ちる	luo4xia4 落下	2694	e	U	move, after(down)	%
family	csala1d	familia	rodzina	kazoku 家族	jia1 家	383	e	N	group, <two>(parent) part_of, <more>(child) part_of	%
far	messze	procul	daleko	tói 遠い	yuan3 远	1678	u	A	distance[great]	%
fast	gyors	celer	szybki	hayai 速い	kuai4 快	940	e	A	quick	%
fat	zsi1r	adeps	tl1uszcz	shibó 脂肪	zhi1fang2 脂肪	3337	e	N	substance, soft, <in food>, <under skin>	%
fear	fe1lelem	timor	strach	kyófu 恐怖	kong3bu4 恐怖	734	u	N	sensation, danger cause_, <anxiety>	%
feather	toll	penna	pio1ro	hane 羽	yu3mao2 羽毛	2427	e	N	organ, soft, at bird	%
feel	e1rez	sentio	czuc1	kanjiru 感じる	jue2de 觉得	521	u	V	=pat in mind, =pat at body, =agt has body, =agt has mind	%
feeling	e1rze1s	sensus	uczcia	kimochi 気持ち	gan3jue2 感觉	533	u	N	liquid, in mind, joy is_a, sorrow is_a, fear is_a, anger is_a	%spontaneous? other cause_ ?
female	no3	femina	samica	josei 女性	nü3 女	1794	u	N	sex	%
fibre	rost	fibra	bl1onnik	sen'i 繊維	xian1wei2 纤维	3357	c	N	in food, cause_ health, thread, in rope, in cloth, thin/2598, natural, in wood	%
fight	harc	pugna	bo1jka	tatakai 闘い	zhan4dou4 战斗	1002	c	N	person want {harm at other(person)}, ins_ weapon	%
fine	finom	elegans	dobry	sensai 繊細	xi4wei1 细微	809	e	A	small, light/1381, thin/2598	%
finger	ujj	digitus	palec	yubi 指	zhi3 指	2522	e	N	part_of hand, long, thin/2598	"%""has four fingers"", de ""has o2t ujj"""
fire	tu3z	ignis	ogien1	hi 火	huo3 火	2454	c	N	substance, cause_ heat, cause_ light/739, has flame, burn, <cause_ smoke>	%
firm	szila1rd	firmus	firma	antei 安定	wen3gu4 稳固	2215	e	A	rigid, lack soft 	%
firm	ce1g	domus	firma	kaisha 会社	gong1si 公司	362	e	N	company/2549[<small>]	%
first	elso3	primus	pierwszy	ichiban 一番	di4yi1 第一	649	c	A	-th/5[one], lack before, second/1569 follow	%
five	o2t	quinque	pie1c1	go 五	wu3 五	2989	e	A	number, follow four	%
fix	ro2gzi1t	firmo	przymocowywac1	kotei-suru 固定する	ding4 定	2026	u	V	=agt cause_ {=pat[stable]}	%
flame	la1ng	flamma	pl1omien1	honoo 炎	huo3yan4 火焰	1473	e	N	air, hot, light/739 from, fire has	%
flat	lapos	planus	pl1aski	taira 平	ping2mian4 平面	1493	c	A	has surface, horizontal, lack slope, lack curve	%
flesh	hu1s	caro	mie1so	niku 肉	rou4 肉	1093	u	N	material, soft, muscle	%
flexible	hajle1kony	flexibile	elastyczne	júnan 柔軟	tan2xing4 弹性	3371	e	A	can/1246(change), can/1246(bend/975)	%
floor	padlo1	coaxatio	podl1oga	yuka 床	di4ban3 地板	1932	e	N	surface, room/2235 has, stand on	%
flour	liszt	farina	ma1ka	komugiko 小麦粉	mian4fen3 面粉	1545	e	N	food, from/2742 grain	%
flow	folyik	fluo	pl1yna1c1	nagareru 流れる	liu2 流	847	u	V	<liquid> move[smooth]	%
flower	vira1g	flos	kwiat	hana 花	huar1 花儿	2637	e	N	plant has, <has colour>	%
fly	repu2l	volo	latac1	tobu 飛ぶ	fei1 飞	2018	u	U	move, =agt in air, control	%
follow	ko2vet	sequor	poda1z1ac1	tsuzuku 続く	gen1sui2 跟随	1400	u	V	=agt has direction, =pat has direction, after(=agt), before(=pat)	%
food	e1tel	cibus	jedzenie	tabemono 食べ物	fan4 饭	542	u	N	material, gen eat	%
foot	la1b	pes	stopa	ashi 足	jiao3 脚	1466	e	N	organ, leg has, at ground	%
for	/e1rt	pro	dla	tame ni 為に	wei4 为	2824	p	G	exchange_, "for _" mark_ money_	%hidden primitive: thing of value
for_	-e1rt	pro	dla	tame ni 為に	wei4 为	2782	p	G		%used as instrument, dative of purpose
force	ero3	vis	sil1a	chikara 力	li4 力	683	u	N	power	%
forehead	homlok	frons	czol1o	hitai 額	qian2e2 前额	1077	e	N	part_of face, front, eye under, hair at, at temple/982	%
fork	villa	furca	widelec	fóku フォーク	cha1 叉	2630	e	N	cutlery, <metal>, has {<four>(branch)}, has handle, {move food} ins_	%
form	alak	forma	forma	katachi 形	yang4zi 样子	141	e	N	object has	%
four	ne1gy	quattuor	cztery	yon 四	si4 四	2988	u	A	number, follow three	%
frame	keret	forma	rama	waku 枠	kuang4jia4 框架	1303	u	N	artefact, has part[more, together], structure, give shape, fix, border	%
frequent	gyakori	frequens	cze1sty	hinpan 頻繁	pin2fan2 频繁	919	e	A	often	%
fright	ijedelem	terror	terror	kyófu 恐怖	jing1xia4 惊吓	2812	e	N	sudden, intense, fear	%
frighten	ijeszt	terreo	straszyc1	odokasu 脅かす	xia4 吓	2916	e	V	cause_ fear  	%
from	/bo1l	ab	z	kara から	cong2 从	2742	u	G	before(in =pat), after(far)	%
front	elej	pars_prior	przo1d	mae 前	qian2 前	608	u	N	part, first	%?
fruit	gyu2mo2lcs	fructus	owoc	kudamono 果物	shui3guo3 水果	945	e	N	part_of plant, seed part_of, food, sweet, has flesh	%
fur	pre1m	pellis	futro	kegawa 毛皮	mao2pi2 毛皮	1974	e	N	hair/3359, cover skin, mammal has	%
furniture	bu1tor	supellex	meble	kagu 家具	jia1ju4 家具	343	c	N	object, in room/2235, chair is_a, table is_a, bed is_a, cupboard is_a	%
further	tova1bbi	reliquus	dalszy	sore-ijó-no それ以上の	jin4yi1bu4 进一步	2435	u	A	more	%
future	jo2vo3	futura	przyszl1os1c1	mirai 未来	jiang1lai2 将来	1197	u	N	time, follow now	%
gas	ga1z	gasium	gaz	gasu ガス	qi4 气	885	u	N	substance, thin/1038, air is_a	%
gen	aka1r-	ubicumque	dowolny	/demo でも	ren4he2 任何	3635	p	N	gen	%  %
get	jut	nanciscor	dostawac1	eru 得る	dao4 到	1206	e	V	after(has)	%
get	kap	accipio	dostawac1	morau もらう	de2dao4 得到	1223	e	V	after(=agt has =pat), after(has)	%
give	ad	do	dac1	ageru あげる	gei3 给	113	e	V	=agt cause_ {person has =pat}, dative_ mark_ person	%
go	megy	eo	is1c1	iku 行く	qu4 去	1654	u	U	move, ins_ leg, =agt has leg	%
good	jo1	bonus	dobry	ii 良い	hao3 好	1189	u	A	gen want	%
govern	vezet	gero	rza1dzic1	tsukasadoru 司る	zhi4li3 治理	2615	e	V	control[system <country>], =agt has power	%
government	korma1ny	gubernium	rza1d	seifu 政府	zheng4fu3 政府	1433	e	N	authority, country has, people in	%
grain	szem	granum	ziarno	tsubu 粒	li4 粒	2183	c	N	seed, small, dry, cereal has	%
graphite	grafit	graphium	grafit	sekiboku 石墨	shi2mo4 石墨	3601	e	N	material, black, soft, is_a carbon	%
great	nagy	magnus	wielki	ókii 大きい	da4 大	1746	e	N	big	%
green	zo2ld	viridis	zielony	midori 緑	lü4 绿	2679	e	A	colour, plant has colour	%
grey	szu2rke	canus	szary	hai-iro 灰色	hui1se4 灰色	2268	e	A	colour, dark(cloud) has	%
ground	talaj	solum	ziemia	jimen 地面	di4mian4 地面	2297	e	N	surface, solid, at Earth	%
group	csoport	caterva	grupa	grúpu グループ	qun2 群	432	c	N	member[several], together	%
grow	no3	cresco	rosna1c1	nobiru 伸びる	zeng1zhang3 增长	1796	e	U	after(size(er_ gen))	%
gun	puska	sclopetum	bron1	jú 銃	qiang1 枪	1980	c	N	weapon, has[metal(tube)], cause_ bullet[move], shot ins_	%
hair	szo3r	coma	wl1osy	ke 毛	mao2 毛	3359	u	N	organ, fine, thread, grow, long, on body, animal has body	%
hand	ke1z	manus	re1ka	te 手	shou3 手	1264	c	N	organ, part_of arm, human has arm, for_ [move gen], wrist part_of, palm part_of, five(finger) part_of, thumb part_of	%four(finger), de o2t(ujj)
handle	fogo1	manubrium	ra1czka	totte 取っ手	ba3shou3 把手	834	u	N	part_of object, for_ hold(object in hand)	%
happen	to2rte1nik	fio	stac1_sie1	okoru 起こる	fa1sheng1 发生	2418	e	V	change	%
hard	keme1ny	durus	cie1z1ki	katai 硬い	ying4 硬	1291	u	A	gen lack bend/975, gen lack soft	%
harm	se1ru2le1s	vulnus	szkoda	higai 被害	shang1hai4 伤害	2067	u	N	bad	%
has	bi1r	habeo	miec1	motte iru 持っている	you3 有	288	p	V	=agt control =pat, =agt has =pat	%
head	fej	caput	gl1owa	atama 頭	tou2 头	756	u	N	organ, brain in, face on, top	%
health	ege1szse1g	sanitas	zdrowie	kenkó 健康	jian4kang1 健康	554	e	N	healthy	%
healthy	ege1szse1ges	sanus	zdrowy	genki 元気	jian4kang1 健康	555	u	A	has body, body in good(situation)	%
hear	hall	audio	sl1yszec1	kiku 聞く	ting1jian4 听见	987	c	V	=agt perceive =pat[sound/993], ins_ ear	%
heat	ho3	calor	gora1co	netsu 熱	re4 热	1070	u	N	energy, warm	%
heavy	nehe1z	gravis	ciez1ki	omoi 重い	zhong4 重	1772	e	A	weight(er_ gen)	%
height	magassa1g	altitudo	wysokos1c1	takasa 高さ	gao1du4 高度	1583	e	N	distance, vertical	%between {base/146,top}
help	segi1t	adiuvo	pomagac1	tetsudau 手伝う	bang1zhu4 帮助	2072	u	V	=agt cause_ {=pat succeed/2718}, =agt together =pat	%
high	magas	altus	wysoki	takai 高い	gao1 高	1582	u	A	top er_ gen, has top	%
hill	domb	collis	wzgo1rze	oka 丘	qiu1 丘	482	e	N	on land, high, mountain er_	%
hold	tart	teneo	trzymac1	motsu 持つ	na2zhe 拿着	2309	u	V	=pat in hand, =agt has hand	%
hole	lyuk	foramen	dziura	ana 穴	kong3xue2 孔穴	1557	u	N	empty(place/2326), in solid	%
hole	lyuk	foramen	dziura	ana 穴	kong3xue2 孔穴	1557	u	N	empty(place/2326), in solid	%
hollow	u2reges	cavus	pusty	kúdó 空洞	kong1dong4 空洞	2500	e	A	hole in	%
home	otthon	domus	dom	ie 家	jia1 家	1924	e	N	place/1026, =agt at, "_'s" mark_ =agt	%
honey	me1z	mel	mio1d	hachimitsu 蜂蜜	feng1mi4 蜂蜜	3342	c	N	food, sweet, sticky, bee make	%
horizontal	vi1zszintes	horizontalis	horizontalny	suihei 水平	shui3ping2 水平	3144	u	A	direction, flat(ground) has, still(water) has	%
horse	lo1	equus	kon1	uma 馬	ma3 马	1547	e	N	animal, animal, has[four (leg)], ride ins_, pull	%RG
hot	forro1	fervens	gora1cy	atsui 熱い	re4 热	862	u	A	temperature, high	%
hour	o1ra	hora	godzina	jikan 時間	xiao3shi2 小时	1834	c	N	time, unit, day has <24>, has <60>(minute)	%
house	ha1z	domus	dom	ie 家	fang2zi 房子	963	e	N	building, home	%
human	ember	homo	czl1owiek	ningen 人間	ren2 人	658	e	N	man/659	%
hurt	ba1nt	laedo	ranic1	itai 痛い	shang1hai4 伤害	200	u	V	cause_ {=pat has pain}, offend	%
husband	fe1rj	vir/maritus	ma1z1	otto 夫	zhang4fu 丈夫	745	e	N	male, has wife, "to/of _" mark_ wife	%
ice	je1g	glacies	lo1d	kóri 氷	bing1 冰	1178	e	N	water, cold, hard	%
idea	eszme	opinio	idea	kangae 考え	si1xiang3 思想	703	e	N	in mind, think make	%
ill	beteg	aeger	chory	byóki 病気	sheng1bing4 生病	273	u	A	has disease, lack healthy	%
image	ke1p	imago	obraz	gazó 画像	tu2hua4 图画	1242	u	N	has form, resemble object, gen see, represent object, "of _" mark_ object	%
imagination	fanta1zia	imaginatio	wyobraz1nia	sózóryoku 想像力	xiang3xiang4li4 想像力	725	e	N	make mental(image), lack see, <picture>	%
important	fontos	gravis	waz1ny	júyó 重要	zhong4yao4 重要	853	u	A	cause, has value	%
in	/-ba	In	do	nakae 中へ	li3	10	c	G	place, =agt at place, =pat[place] contain =agt, "in _" mark_ place	%
in	/-ban	in	w	nai 内	nèi 内	2758	c	G	place, =agt at place, =pat[place] contain =agt, "in _" mark_ place	%could be primitive
information	informa1cio1	nuntiatio	informacja	jóhó 情報	xin4xi1 信息	1141	c	N	liquid, study give, experience give, gen know	%
injury	se1ru2le1s	vulnus	rana	kega 怪我 (kizu 傷)	wai4shang1 外伤	3360	e	N	damage, body has	%
ins_	-val	per	-em	de で	yong4 用	702	u	G	=pat make =agt[easy]	%  %instrumental case
insect	rovar	insectum	owad	mushi 虫	chong2zi 虫子	2048	u	N	small(animal), has leg[six], has head, <has wing>	%has thorax, has abdomen
